# ==============================================,,,,,,,,,
# TCC - Log de Teste de Envelhecimento,,,,,,,,,
# ==============================================,,,,,,,,,
# Data/Hora Início: 2026-01-10 11:52:13,,,,,,,,,
# ,,,,,,,,,
# PARÂMETROS PID (FIXOS):,,,,,,,,,
#   Kp = 2.780000,,,,,,,,,
#   Ki = 0.00106000,,,,,,,,,
#   Kd = 5.000000,,,,,,,,,
# ,,,,,,,,,
# MODELO FOPDT IDENTIFICADO:,,,,,,,,,
#   G(s) = 1.56 * exp(-150.6s) / (1307.2s + 1),,,,,,,,,
#   K = 1.56 °C/%,,,,,,,,,
#   θ = 150.6 s,,,,,,,,,
#   τ = 1307.2 s,,,,,,,,,
# ,,,,,,,,,
# CONFIGURAÇÃO:,,,,,,,,,
#   Taxa de Rampa: 1.0 °C/s,,,,,,,,,
#   Intervalo de Amostragem: 1000 ms,,,,,,,,,
#   Janela PWM (SSR): 5000 ms,,,,,,,,,
# ,,,,,,,,,
# LIMITES DE SEGURANÇA:,,,,,,,,,
#   Temp. Máx. Forno: 130.0 °C,,,,,,,,,
#   Temp. Máx. DUT: 130.0 °C,,,,,,,,,
#   Corrente Máx. PSU: 1.5 A,,,,,,,,,
# ==============================================,,,,,,,,,
# ,,,,,,,,,
time_sec,oven_temp_c,oven_setpoint_c,oven_output_pct,psu_voltage_v,psu_current_a,dut_temp_c,dut_slack,dut_volt,
154,48.79,100,100,1,0.049,37.168,61,0.994,486.838
154.999,48.81,100,100,1,0.049,37.168,59,0.992,487.837
156,48.87,100,100,1,0.049,37.404,59,0.993,488.838
157,48.94,100,100,1,0.049,37.414,61,0.992,489.838
158,48.99,100,100,1,0.049,37.158,59,0.995,490.838
158.999,48.98,100,100,1,0.049,37.527,60,0.993,491.837
160,49.19,100,100,1,0.049,37.281,60,0.994,492.838
160.999,49.17,100,100,1,0.049,37.394,60,0.993,493.837
161.999,49.22,100,100,1,0.049,37.158,58,0.994,494.837
162.999,49.28,100,100,1,0.049,37.508,59,0.993,495.837
163.999,49.32,100,100,1,0.049,37.414,59,0.993,496.837
165,49.44,100,100,1,0.049,36.636,60,0.993,497.838
165.999,49.45,100,100,1,0.049,37.015,60,0.994,498.837
167,49.55,100,100,1,0.049,37.035,60,0.993,499.838
167.999,49.68,100,100,1,0.049,37.158,59,0.994,500.837
169,49.74,100,100,1,0.049,37.527,60,0.994,501.838
169.999,49.85,100,100,1,0.049,37.547,60,0.993,502.837
170.999,49.82,100,100,1,0.05,37.823,58,0.993,503.837
172,49.94,100,100,1,0.049,37.168,58,0.994,504.838
173,50,100,100,1,0.049,37.291,60,0.993,505.838
173.999,50.06,100,100,1,0.049,37.281,60,0.993,506.837
174.999,50.19,100,100,1,0.049,37.301,60,0.993,507.837
176.001,50.18,100,100,1,0.049,37.025,60,0.993,508.839
177,50.28,100,100,1,0.049,37.311,60,0.993,509.838
178.001,50.37,100,100,1,0.049,37.148,58,0.993,510.839
178.999,50.41,100,100,1,0.049,36.882,60,0.994,511.837
180,50.45,100,100,1,0.049,37.301,59,0.994,512.838
181.001,50.58,100,100,1,0.049,37.424,58,0.993,513.839
181.999,50.69,100,100,1,0.05,37.138,60,0.993,514.837
182.999,50.61,100,100,1,0.049,37.271,59,0.993,515.837
183.999,50.68,100,100,1,0.049,37.424,60,0.995,516.837
185,50.82,100,100,1,0.049,37.301,58,0.993,517.838
186,50.97,100,100,1,0.049,37.158,60,0.994,518.838
186.999,51.09,100,100,1,0.049,37.518,59,0.993,519.837
187.999,51.08,100,100,1,0.049,37.168,60,0.993,520.837
189,51.1,100,100,1,0.049,37.158,58,0.993,521.838
190,51.22,100,100,1,0.049,37.015,60,0.992,522.838
190.999,51.26,100,100,1,0.049,36.646,58,0.993,523.837
191.999,51.31,100,100,1,0.049,37.508,60,0.994,524.837
193,51.51,100,100,1,0.049,37.793,58,0.993,525.838
