Data,Hora,Temperatura,Slack,Tensão
07/04/2025,13:02:49,108286,131,1292
07/04/2025,13:02:51,107528,131,1291
07/04/2025,13:02:53,108399,130,1291
07/04/2025,13:02:55,107764,130,1291
07/04/2025,13:02:57,108522,131,1293
07/04/2025,13:02:59,108399,130,1291
07/04/2025,13:03:01,108665,131,1291
07/04/2025,13:03:03,108256,130,1290
07/04/2025,13:03:05,108532,131,1291
07/04/2025,13:03:07,108768,130,1291
07/04/2025,13:03:09,107867,130,1291
07/04/2025,13:03:11,108389,131,1291
07/04/2025,13:03:13,108891,131,1291
07/04/2025,13:03:15,108276,130,1290
07/04/2025,13:03:17,108379,129,1291
07/04/2025,13:03:19,108542,129,1291
07/04/2025,13:03:21,107887,130,1291
07/04/2025,13:03:23,108931,130,1291
07/04/2025,13:03:25,108399,129,1291
07/04/2025,13:03:27,108635,129,1289
07/04/2025,13:03:29,108655,129,1290
07/04/2025,13:03:31,108389,130,1290
07/04/2025,13:03:33,109034,130,1291
07/04/2025,13:03:35,108369,131,1290
07/04/2025,13:03:37,108143,131,1289
07/04/2025,13:03:39,108655,129,1290
07/04/2025,13:03:41,109157,130,1293
07/04/2025,13:03:43,109147,130,1293
07/04/2025,13:03:45,108881,129,1293
07/04/2025,13:03:47,109393,129,1293
07/04/2025,13:03:49,109014,130,1293
07/04/2025,13:03:51,108861,130,1294
07/04/2025,13:03:53,109260,129,1292
07/04/2025,13:03:55,109639,130,1293
07/04/2025,13:03:57,109270,130,1292
07/04/2025,13:03:59,109240,130,1291
07/04/2025,13:04:01,108359,128,1293
07/04/2025,13:04:03,109137,129,1292
07/04/2025,13:04:05,109280,129,1291
07/04/2025,13:04:07,109024,129,1291
07/04/2025,13:04:09,109157,130,1294
07/04/2025,13:04:11,108881,128,1292
07/04/2025,13:04:13,109117,130,1292
07/04/2025,13:04:15,108625,130,1292
07/04/2025,13:04:17,108728,128,1291
07/04/2025,13:04:19,109772,128,1292
07/04/2025,13:04:21,109506,130,1291
07/04/2025,13:04:23,109270,128,1291
07/04/2025,13:04:25,108861,128,1292
07/04/2025,13:04:27,109127,129,1291
07/04/2025,13:04:29,109393,129,1292
07/04/2025,13:04:31,110018,129,1292
07/04/2025,13:04:33,109344,128,1291
07/04/2025,13:04:35,110284,128,1291
07/04/2025,13:04:37,110018,129,1294
07/04/2025,13:04:39,109516,128,1290
07/04/2025,13:04:41,108984,129,1291
07/04/2025,13:04:43,109629,129,1291
07/04/2025,13:04:45,109998,129,1292
07/04/2025,13:04:47,109240,130,1291
07/04/2025,13:04:49,109373,128,1291
07/04/2025,13:04:51,109127,128,1290
07/04/2025,13:04:53,108748,128,1291
07/04/2025,13:04:55,109619,128,1292
07/04/2025,13:04:57,109107,129,1289
07/04/2025,13:04:59,109383,130,1291
07/04/2025,13:05:01,110264,127,1293
07/04/2025,13:05:03,109354,130,1293
07/04/2025,13:05:05,110122,127,1294
07/04/2025,13:05:07,109989,130,1292
07/04/2025,13:05:09,109610,128,1294
07/04/2025,13:05:11,109762,128,1292
07/04/2025,13:05:13,109486,129,1291
07/04/2025,13:05:15,109866,129,1293
07/04/2025,13:05:17,110358,127,1291
07/04/2025,13:05:19,110254,129,1293
07/04/2025,13:05:21,110245,127,1292
07/04/2025,13:05:23,110673,128,1292
07/04/2025,13:05:25,109866,127,1294
07/04/2025,13:05:27,109467,127,1291
07/04/2025,13:05:29,110112,127,1291
07/04/2025,13:05:31,110131,128,1292
07/04/2025,13:05:33,109856,129,1293
